cap,citta,nome,paese
32000,Turin,Panetteria,Italia
32001,Palermo,Enoteca,Italia
32002,Messina,Ristorante,Italia
32003,Palermo,Ristorante,Italia
32004,Milan,Trattoria,Italia
32005,Venezia,Panetteria,Italia
32006,Messina,Trattoria,Italia
32007,Genoa,Panetteria,Italia
32008,Venice,Ristorante,Italia
32009,Verona,Salumeria,Italia
32010,Venice,Pizzeria,Italia
32011,Naples,Trattoria,Italia
32012,Milan,Salumeria,Italia
32013,Milan,Enoteca,Italia
32014,Milan,Banca,Italia
32015,Bologna,Panetteria,Italia
32016,Rome,Trattoria,Italia
32017,Rome,Ristorante,Italia
32018,Genoa,Enoteca,Italia
32019,Naples,Ristorante,Italia
32020,Turin,Panetteria,Italia
32021,Genoa,Banca,Italia
32022,Messina,Banca,Italia
32023,Milan,Ristorante,Italia
32024,Venezia,Panetteria,Italia
32025,Venice,Trattoria,Italia
32026,Venezia,Trattoria,Italia
32027,Messina,Ristorante,Italia
32028,Bologna,Trattoria,Italia
32029,Venice,Panetteria,Italia
32030,Venice,Panetteria,Italia
32031,Bologna,Salumeria,Italia
32032,Venice,Trattoria,Italia
32033,Genoa,Pizzeria,Italia
32034,Verona,Trattoria,Italia
32035,Genoa,Panetteria,Italia
32036,Florence,Ristorante,Italia
32037,Bologna,Trattoria,Italia
32038,Naples,Banca,Italia
32039,Venezia,Salumeria,Italia
32040,Genoa,Ristorante,Italia
32041,Verona,Enoteca,Italia
32042,Naples,Banca,Italia
32043,Genoa,Ristorante,Italia
32044,Verona,Panetteria,Italia
32045,Milan,Panetteria,Italia
32046,Palermo,Banca,Italia
32047,Milan,Ristorante,Italia
32048,Naples,Panetteria,Italia
32049,Genoa,Banca,Italia
32050,Genoa,Salumeria,Italia
32051,Messina,Ristorante,Italia
32052,Messina,Enoteca,Italia
32053,Venice,Salumeria,Italia
32054,Milan,Ristorante,Italia
32055,Palermo,Enoteca,Italia
32056,Verona,Ristorante,Italia
32057,Genoa,Pizzeria,Italia
32058,Messina,Trattoria,Italia
32059,Messina,Pizzeria,Italia
32060,Bologna,Ristorante,Italia
32061,Venezia,Enoteca,Italia
32062,Naples,Ristorante,Italia
32063,Verona,Ristorante,Italia
32064,Milan,Trattoria,Italia
32065,Milan,Salumeria,Italia
32066,Palermo,Enoteca,Italia
32067,Palermo,Salumeria,Italia
32068,Florence,Banca,Italia
32069,Bologna,Salumeria,Italia
32070,Florence,Ristorante,Italia
32071,Verona,Enoteca,Italia
32072,Genoa,Salumeria,Italia
32073,Florence,Salumeria,Italia
32074,Palermo,Pizzeria,Italia
32075,Naples,Trattoria,Italia
32076,Milan,Trattoria,Italia
32077,Venezia,Pizzeria,Italia
32078,Messina,Salumeria,Italia
32079,Bologna,Pizzeria,Italia
32080,Palermo,Salumeria,Italia
32081,Genoa,Ristorante,Italia
32082,Bologna,Enoteca,Italia
32083,Florence,Ristorante,Italia
32084,Messina,Enoteca,Italia
32085,Messina,Banca,Italia
32086,Venice,Trattoria,Italia
32087,Genoa,Banca,Italia
32088,Palermo,Enoteca,Italia
32089,Milan,Salumeria,Italia
32090,Palermo,Trattoria,Italia
32091,Bologna,Salumeria,Italia
32092,Naples,Pizzeria,Italia
32093,Bologna,Trattoria,Italia
32094,Palermo,Enoteca,Italia
32095,Florence,Trattoria,Italia
32096,Genoa,Panetteria,Italia
32097,Rome,Enoteca,Italia
32098,Verona,Enoteca,Italia
32099,Milan,Ristorante,Italia
32100,Venezia,Banca,Italia
32101,Florence,Enoteca,Italia
32102,Florence,Pizzeria,Italia
32103,Venezia,Panetteria,Italia
32104,Venice,Banca,Italia
32105,Messina,Panetteria,Italia
32106,Milan,Ristorante,Italia
32107,Turin,Panetteria,Italia
32108,Naples,Ristorante,Italia
32109,Florence,Banca,Italia
32110,Genoa,Banca,Italia
32111,Venezia,Trattoria,Italia
32112,Naples,Panetteria,Italia
32113,Florence,Trattoria,Italia
32114,Venezia,Enoteca,Italia
32115,Florence,Ristorante,Italia
32116,Messina,Pizzeria,Italia
32117,Rome,Trattoria,Italia
32118,Florence,Trattoria,Italia
32119,Milan,Panetteria,Italia
32120,Venice,Salumeria,Italia
32121,Venezia,Pizzeria,Italia
32122,Rome,Pizzeria,Italia
32123,Venice,Salumeria,Italia
32124,Naples,Salumeria,Italia
32125,Rome,Banca,Italia
32126,Verona,Pizzeria,Italia
32127,Turin,Banca,Italia
32128,Bologna,Trattoria,Italia
32129,Verona,Ristorante,Italia
32130,Naples,Banca,Italia
32131,Verona,Ristorante,Italia
32132,Palermo,Ristorante,Italia
32133,Turin,Panetteria,Italia
32134,Genoa,Panetteria,Italia
32135,Rome,Ristorante,Italia
32136,Messina,Salumeria,Italia
32137,Naples,Banca,Italia
32138,Venezia,Salumeria,Italia
32139,Florence,Salumeria,Italia
32140,Venice,Panetteria,Italia
32141,Turin,Salumeria,Italia
32142,Turin,Ristorante,Italia
