nome,numeroSerie
gun,9000
mask,9001
knife,9002
knife,9003
mask,9004
mask,9005
screwdriver,9006
rope,9007
mask,9008
screwdriver,9009
knife,9010
flashlight,9011
mask,9012
knife,9013
gun,9014
gun,9015
phone,9016
crowbar,9017
gun,9018
flashlight,9019
mask,9020
knife,9021
hammer,9022
gun,9023
hammer,9024
crowbar,9025
crowbar,9026
hammer,9027
crowbar,9028
mask,9029
knife,9030
screwdriver,9031
crowbar,9032
knife,9033
gun,9034
knife,9035
knife,9036
flashlight,9037
screwdriver,9038
hammer,9039
gun,9040
crowbar,9041
phone,9042
gun,9043
flashlight,9044
crowbar,9045
hammer,9046
crowbar,9047
knife,9048
gun,9049
hammer,9050
screwdriver,9051
knife,9052
flashlight,9053
flashlight,9054
flashlight,9055
hammer,9056
mask,9057
crowbar,9058
crowbar,9059
screwdriver,9060
gun,9061
rope,9062
gun,9063
mask,9064
knife,9065
flashlight,9066
knife,9067
gun,9068
mask,9069
rope,9070
flashlight,9071
knife,9072
rope,9073
rope,9074
flashlight,9075
gun,9076
phone,9077
knife,9078
phone,9079
knife,9080
rope,9081
rope,9082
flashlight,9083
hammer,9084
mask,9085
knife,9086
knife,9087
mask,9088
knife,9089
flashlight,9090
gun,9091
knife,9092
screwdriver,9093
knife,9094
phone,9095
mask,9096
mask,9097
knife,9098
knife,9099
rope,9100
mask,9101
knife,9102
mask,9103
flashlight,9104
phone,9105
crowbar,9106
knife,9107
phone,9108
hammer,9109
mask,9110
flashlight,9111
gun,9112
knife,9113
mask,9114
flashlight,9115
flashlight,9116
gun,9117
knife,9118
hammer,9119
mask,9120
gun,9121
flashlight,9122
crowbar,9123
knife,9124
gun,9125
hammer,9126
phone,9127
mask,9128
crowbar,9129
flashlight,9130
phone,9131
knife,9132
gun,9133
hammer,9134
knife,9135
rope,9136
rope,9137
phone,9138
phone,9139
flashlight,9140
screwdriver,9141
crowbar,9142
phone,9143
flashlight,9144
rope,9145
rope,9146
knife,9147
screwdriver,9148
knife,9149
gun,9150
crowbar,9151
rope,9152
mask,9153
screwdriver,9154
gun,9155
rope,9156
rope,9157
screwdriver,9158
rope,9159
crowbar,9160
flashlight,9161
flashlight,9162
mask,9163
mask,9164
phone,9165
screwdriver,9166
gun,9167
knife,9168
flashlight,9169
hammer,9170
mask,9171
flashlight,9172
knife,9173
phone,9174
flashlight,9175
rope,9176
rope,9177
gun,9178
phone,9179
knife,9180
gun,9181
gun,9182
phone,9183
flashlight,9184
knife,9185
rope,9186
crowbar,9187
phone,9188
mask,9189
mask,9190
crowbar,9191
crowbar,9192
knife,9193
rope,9194
phone,9195
gun,9196
knife,9197
mask,9198
knife,9199
crowbar,9200
rope,9201
phone,9202
phone,9203
crowbar,9204
mask,9205
crowbar,9206
crowbar,9207
mask,9208
hammer,9209
gun,9210
knife,9211
knife,9212
knife,9213
knife,9214
hammer,9215
crowbar,9216
knife,9217
hammer,9218
hammer,9219
screwdriver,9220
phone,9221
screwdriver,9222
hammer,9223
mask,9224
phone,9225
mask,9226
rope,9227
rope,9228
knife,9229
gun,9230
phone,9231
hammer,9232
knife,9233
screwdriver,9234
gun,9235
mask,9236
mask,9237
knife,9238
gun,9239
knife,9240
knife,9241
gun,9242
knife,9243
mask,9244
knife,9245
knife,9246
screwdriver,9247
gun,9248
knife,9249
crowbar,9250
phone,9251
hammer,9252
knife,9253
knife,9254
mask,9255
flashlight,9256
screwdriver,9257
mask,9258
hammer,9259
hammer,9260
knife,9261
hammer,9262
knife,9263
rope,9264
phone,9265
phone,9266
knife,9267
mask,9268
rope,9269
mask,9270
knife,9271
screwdriver,9272
knife,9273
mask,9274
knife,9275
knife,9276
flashlight,9277
hammer,9278
mask,9279
knife,9280
knife,9281
gun,9282
screwdriver,9283
screwdriver,9284
crowbar,9285
hammer,9286
rope,9287
crowbar,9288
phone,9289
crowbar,9290
gun,9291
phone,9292
mask,9293
hammer,9294
knife,9295
gun,9296
phone,9297
mask,9298
knife,9299
knife,9300
flashlight,9301
knife,9302
flashlight,9303
gun,9304
gun,9305
crowbar,9306
flashlight,9307
hammer,9308
knife,9309
mask,9310
crowbar,9311
flashlight,9312
mask,9313
mask,9314
hammer,9315
gun,9316
rope,9317
screwdriver,9318
hammer,9319
crowbar,9320
rope,9321
screwdriver,9322
rope,9323
knife,9324
screwdriver,9325
flashlight,9326
hammer,9327
mask,9328
mask,9329
knife,9330
knife,9331
knife,9332
rope,9333
mask,9334
gun,9335
knife,9336
knife,9337
gun,9338
knife,9339
knife,9340
knife,9341
knife,9342
crowbar,9343
knife,9344
rope,9345
rope,9346
rope,9347
knife,9348
flashlight,9349
gun,9350
mask,9351
gun,9352
knife,9353
mask,9354
mask,9355
phone,9356
gun,9357
phone,9358
knife,9359
flashlight,9360
crowbar,9361
crowbar,9362
mask,9363
knife,9364
knife,9365
phone,9366
crowbar,9367
screwdriver,9368
gun,9369
screwdriver,9370
rope,9371
