id,data,nome
2001,2025-01-12,burglary
2002,2025-11-13,money laundering
2003,2025-02-20,robbery
2004,2025-04-04,carjacking
2005,2025-02-15,homicide
2006,2025-12-24,trespassing
2007,2025-02-03,money laundering
2008,2025-10-25,homicide
2009,2025-10-29,cybercrime
2010,2025-03-11,homicide
2011,2025-12-26,trespassing
2012,2025-02-22,arson
2013,2025-07-28,stalking
2014,2025-05-12,burglary
2015,2025-10-06,homicide
2016,2025-01-07,embezzlement
2017,2025-01-09,cybercrime
2018,2025-07-24,arson
2019,2025-05-09,domestic violence
2020,2025-09-12,embezzlement
2021,2025-05-08,fraud
2022,2025-04-03,fraud
2023,2025-08-26,human trafficking
2024,2025-08-06,drug possession
2025,2025-07-05,terrorism
2026,2025-03-04,money laundering
2027,2025-06-23,burglary
2028,2025-01-02,robbery
2029,2025-09-19,kidnapping
2030,2025-05-06,kidnapping
2031,2025-01-29,stalking
2032,2025-07-21,terrorism
2033,2025-08-19,homicide
2034,2025-02-03,drug possession
2035,2025-03-16,money laundering
2036,2025-09-19,burglary
2037,2025-07-15,robbery
2038,2025-07-30,human trafficking
2039,2025-05-27,kidnapping
2040,2025-05-11,kidnapping
2041,2025-09-05,domestic violence
2042,2025-05-05,drug possession
2043,2025-08-10,assault
2044,2025-08-17,robbery
2045,2025-07-10,embezzlement
2046,2025-12-01,robbery
2047,2025-08-19,robbery
2048,2025-12-12,homicide
2049,2025-04-03,fraud
2050,2025-06-23,embezzlement
2051,2025-05-20,fraud
2052,2025-03-09,terrorism
2053,2025-07-10,robbery
2054,2025-09-16,cybercrime
2055,2025-02-08,stalking
2056,2025-08-14,embezzlement
2057,2025-09-21,money laundering
2058,2025-10-28,money laundering
2059,2025-11-27,domestic violence
2060,2025-04-29,assault
2061,2025-12-15,human trafficking
2062,2025-08-04,trespassing
2063,2025-07-29,trespassing
2064,2025-05-14,arson
2065,2025-03-12,kidnapping
2066,2025-11-30,kidnapping
2067,2025-08-21,terrorism
2068,2025-05-01,drug possession
2069,2025-05-01,human trafficking
2070,2025-11-13,arson
2071,2025-02-07,carjacking
2072,2025-08-28,burglary
2073,2025-09-05,money laundering
2074,2025-06-02,fraud
2075,2025-09-07,robbery
2076,2025-07-18,domestic violence
2077,2025-03-25,embezzlement
2078,2025-01-18,stalking
2079,2025-06-21,cybercrime
2080,2025-06-16,cybercrime
2081,2025-04-18,trespassing
2082,2025-11-27,robbery
2083,2025-09-20,stalking
2084,2025-12-25,embezzlement
2085,2025-07-09,cybercrime
2086,2025-10-20,stalking
2087,2025-09-03,burglary
2088,2025-12-25,trespassing
2089,2025-01-09,arson
2090,2025-02-17,assault
2091,2025-09-22,burglary
2092,2025-08-13,robbery
2093,2025-02-22,kidnapping
2094,2025-11-11,burglary
2095,2025-03-17,human trafficking
2096,2025-10-13,fraud
2097,2025-10-09,embezzlement
2098,2025-02-20,assault
2099,2025-06-12,drug possession
2100,2025-12-20,carjacking
2101,2025-08-15,money laundering
2102,2025-10-12,trespassing
2103,2025-03-11,money laundering
2104,2025-01-17,homicide
2105,2025-03-27,domestic violence
2106,2025-05-30,robbery
2107,2025-10-02,robbery
2108,2025-02-11,arson
2109,2025-09-14,homicide
2110,2025-06-16,carjacking
2111,2025-02-08,arson
2112,2025-05-08,burglary
2113,2025-11-06,arson
2114,2025-09-09,stalking
2115,2025-03-18,robbery
2116,2025-11-24,arson
2117,2025-03-12,fraud
2118,2025-11-25,human trafficking
2119,2025-11-25,kidnapping
2120,2025-12-05,embezzlement
2121,2025-06-22,carjacking
2122,2025-06-07,carjacking
2123,2025-10-08,trespassing
2124,2025-10-26,human trafficking
2125,2025-08-21,homicide
2126,2025-04-30,burglary
2127,2025-05-26,human trafficking
2128,2025-07-17,carjacking
2129,2025-02-22,drug possession
2130,2025-08-08,burglary
2131,2025-02-18,burglary
2132,2025-07-12,cybercrime
2133,2025-02-11,fraud
2134,2025-09-17,robbery
2135,2025-11-18,terrorism
2136,2025-09-18,cybercrime
2137,2025-02-12,money laundering
2138,2025-11-10,terrorism
2139,2025-08-10,stalking
2140,2025-07-19,assault
2141,2025-04-01,cybercrime
2142,2025-01-13,domestic violence
2143,2025-07-17,robbery
2144,2025-04-04,burglary
2145,2025-09-19,robbery
2146,2025-02-15,arson
2147,2025-09-30,fraud
2148,2025-12-03,carjacking
2149,2025-06-19,terrorism
2150,2025-08-19,fraud
2151,2025-07-24,trespassing
2152,2025-08-20,trespassing
2153,2025-05-06,assault
2154,2025-11-12,stalking
2155,2025-05-09,terrorism
2156,2025-05-29,human trafficking
2157,2025-09-14,human trafficking
2158,2025-01-13,drug possession
2159,2025-05-13,domestic violence
2160,2025-02-11,arson
2161,2025-07-17,terrorism
2162,2025-02-10,homicide
2163,2025-08-11,carjacking
2164,2025-08-31,assault
2165,2025-04-15,stalking
2166,2025-09-16,stalking
2167,2025-10-23,cybercrime
2168,2025-03-18,trespassing
2169,2025-09-17,stalking
2170,2025-01-15,trespassing
2171,2025-07-30,money laundering
2172,2025-06-29,money laundering
2173,2025-12-02,domestic violence
2174,2025-04-30,carjacking
2175,2025-11-13,terrorism
2176,2025-06-12,domestic violence
2177,2025-10-31,carjacking
2178,2025-08-09,trespassing
2179,2025-07-09,kidnapping
2180,2025-12-11,human trafficking
2181,2025-06-09,stalking
2182,2025-07-06,burglary
2183,2025-03-28,drug possession
2184,2025-07-07,money laundering
2185,2025-03-24,domestic violence
2186,2025-09-07,burglary
2187,2025-07-09,terrorism
2188,2025-11-23,trespassing
2189,2025-06-21,stalking
2190,2025-08-07,drug possession
2191,2025-05-03,drug possession
2192,2025-01-04,embezzlement
2193,2025-07-20,stalking
2194,2025-08-14,fraud
2195,2025-09-24,fraud
2196,2025-07-02,kidnapping
2197,2025-11-22,domestic violence
2198,2025-09-21,arson
2199,2025-01-28,domestic violence
2200,2025-12-06,human trafficking
2201,2025-06-07,cybercrime
2202,2025-10-10,drug possession
2203,2025-10-18,carjacking
2204,2025-12-18,homicide
2205,2025-08-27,arson
2206,2025-07-22,domestic violence
2207,2025-04-01,robbery
2208,2025-12-02,money laundering
2209,2025-03-02,carjacking
2210,2025-07-26,embezzlement
2211,2025-11-14,burglary
2212,2025-06-08,fraud
2213,2025-04-25,kidnapping
2214,2025-08-01,stalking
2215,2025-05-15,terrorism
2216,2025-04-11,assault
2217,2025-12-08,burglary
2218,2025-02-25,homicide
2219,2025-10-22,terrorism
2220,2025-05-11,trespassing
2221,2025-10-30,carjacking
2222,2025-09-05,cybercrime
2223,2025-03-31,domestic violence
2224,2025-10-22,carjacking
2225,2025-12-08,stalking
2226,2025-12-23,human trafficking
2227,2025-10-01,cybercrime
2228,2025-11-10,assault
2229,2025-11-17,domestic violence
2230,2025-05-04,kidnapping
2231,2025-12-04,drug possession
2232,2025-03-26,robbery
2233,2025-07-23,burglary
2234,2025-09-11,robbery
2235,2025-12-06,robbery
2236,2025-07-31,carjacking
2237,2025-01-05,drug possession
2238,2025-05-15,burglary
2239,2025-03-13,fraud
2240,2025-04-17,kidnapping
2241,2025-03-09,embezzlement
2242,2025-05-12,trespassing
2243,2025-12-04,fraud
2244,2025-09-12,human trafficking
2245,2025-09-08,domestic violence
2246,2025-08-28,cybercrime
2247,2025-10-16,stalking
2248,2025-09-01,arson
2249,2025-07-26,burglary
2250,2025-08-15,money laundering
2251,2025-01-20,carjacking
2252,2025-04-25,trespassing
2253,2025-03-01,embezzlement
2254,2025-05-15,carjacking
2255,2025-03-14,terrorism
2256,2025-09-20,trespassing
