id,data,nome
21001,2025-10-05,cybercrime
21002,2025-03-25,trespassing
21003,2025-08-21,drug possession
21004,2025-07-15,stalking
21005,2025-04-15,carjacking
21006,2025-08-08,arson
21007,2025-12-23,stalking
21008,2025-10-30,trespassing
21009,2025-06-28,homicide
21010,2025-08-19,assault
21011,2025-06-09,drug possession
21012,2025-01-24,assault
21013,2025-08-14,trespassing
21014,2025-01-02,drug possession
21015,2025-10-23,cybercrime
21016,2025-04-11,domestic violence
21017,2025-01-20,cybercrime
21018,2025-08-13,assault
21019,2025-06-05,burglary
21020,2025-03-05,fraud
21021,2025-05-14,drug possession
21022,2025-04-18,embezzlement
21023,2025-07-03,terrorism
21024,2025-01-15,terrorism
21025,2025-07-17,human trafficking
21026,2025-07-26,trespassing
21027,2025-09-27,arson
21028,2025-04-02,fraud
21029,2025-09-12,embezzlement
21030,2025-11-23,trespassing
21031,2025-08-22,money laundering
21032,2025-07-03,assault
21033,2025-11-23,burglary
21034,2025-02-09,domestic violence
21035,2025-09-07,homicide
21036,2025-10-07,arson
21037,2025-03-17,trespassing
21038,2025-05-09,robbery
21039,2025-04-10,embezzlement
21040,2025-11-29,carjacking
21041,2025-05-06,homicide
21042,2025-05-13,money laundering
21043,2025-10-20,domestic violence
21044,2025-01-08,cybercrime
21045,2025-03-12,stalking
21046,2025-09-15,drug possession
21047,2025-05-18,kidnapping
21048,2025-04-07,kidnapping
21049,2025-03-27,embezzlement
21050,2025-03-16,cybercrime
21051,2025-04-14,carjacking
21052,2025-04-11,money laundering
21053,2025-05-02,embezzlement
21054,2025-07-08,burglary
21055,2025-05-23,domestic violence
21056,2025-11-11,kidnapping
21057,2025-04-25,stalking
21058,2025-03-21,carjacking
21059,2025-04-10,burglary
21060,2025-04-06,arson
21061,2025-06-11,assault
21062,2025-07-05,arson
21063,2025-04-11,fraud
21064,2025-12-23,robbery
21065,2025-02-15,human trafficking
21066,2025-06-17,stalking
21067,2025-01-26,drug possession
21068,2025-11-05,homicide
21069,2025-02-26,homicide
21070,2025-02-27,burglary
21071,2025-06-12,kidnapping
21072,2025-05-30,kidnapping
21073,2025-02-07,stalking
21074,2025-08-15,money laundering
21075,2025-06-02,drug possession
21076,2025-09-02,money laundering
21077,2025-11-20,terrorism
21078,2025-02-02,drug possession
21079,2025-02-23,arson
21080,2025-12-02,assault
21081,2025-04-28,terrorism
21082,2025-05-07,domestic violence
21083,2025-03-06,arson
21084,2025-08-08,drug possession
21085,2025-06-29,terrorism
21086,2025-11-28,homicide
21087,2025-02-09,assault
21088,2025-12-30,embezzlement
21089,2025-06-30,arson
21090,2025-04-02,burglary
21091,2025-08-16,terrorism
21092,2025-07-22,kidnapping
21093,2025-08-12,robbery
21094,2025-05-03,money laundering
21095,2025-03-31,human trafficking
21096,2025-01-26,assault
21097,2025-12-02,trespassing
21098,2025-07-13,fraud
21099,2025-12-18,kidnapping
21100,2025-06-19,trespassing
21101,2025-12-07,burglary
21102,2025-11-17,stalking
21103,2025-07-10,burglary
21104,2025-02-10,money laundering
21105,2025-07-15,robbery
21106,2025-08-14,robbery
21107,2025-04-01,burglary
21108,2025-03-21,carjacking
21109,2025-08-19,assault
21110,2025-04-26,domestic violence
21111,2025-07-11,terrorism
21112,2025-01-29,trespassing
21113,2025-04-10,kidnapping
21114,2025-09-22,money laundering
21115,2025-11-30,drug possession
21116,2025-07-14,kidnapping
21117,2025-01-28,drug possession
21118,2025-05-09,drug possession
21119,2025-09-14,assault
21120,2025-06-01,drug possession
21121,2025-07-27,stalking
21122,2025-01-27,domestic violence
21123,2025-04-27,homicide
21124,2025-08-03,carjacking
21125,2025-02-20,drug possession
21126,2025-08-14,assault
21127,2025-03-18,terrorism
21128,2025-12-18,trespassing
21129,2025-12-14,carjacking
21130,2025-07-17,embezzlement
21131,2025-04-30,fraud
21132,2025-07-30,robbery
21133,2025-05-12,stalking
21134,2025-11-13,assault
21135,2025-01-01,carjacking
21136,2025-02-11,arson
21137,2025-10-07,human trafficking
21138,2025-01-26,human trafficking
21139,2025-02-16,fraud
21140,2025-04-16,homicide
21141,2025-08-03,robbery
21142,2025-02-25,carjacking
21143,2025-02-13,cybercrime
21144,2025-07-03,cybercrime
21145,2025-01-20,arson
21146,2025-12-03,stalking
21147,2025-02-13,robbery
21148,2025-06-28,homicide
21149,2025-04-18,money laundering
21150,2025-03-20,arson
21151,2025-11-14,drug possession
21152,2025-11-27,domestic violence
21153,2025-10-17,arson
21154,2025-05-04,fraud
21155,2025-08-11,drug possession
21156,2025-12-15,terrorism
21157,2025-04-11,carjacking
21158,2025-05-13,homicide
21159,2025-11-29,embezzlement
21160,2025-01-28,arson
21161,2025-08-29,terrorism
21162,2025-12-22,burglary
21163,2025-11-25,money laundering
21164,2025-11-07,fraud
21165,2025-09-02,burglary
21166,2025-11-14,arson
21167,2025-02-19,human trafficking
21168,2025-09-01,homicide
21169,2025-02-08,robbery
21170,2025-04-12,fraud
21171,2025-11-07,drug possession
21172,2025-08-15,homicide
21173,2025-01-17,drug possession
21174,2025-08-27,embezzlement
21175,2025-11-22,assault
21176,2025-08-30,robbery
21177,2025-04-07,money laundering
21178,2025-06-10,carjacking
21179,2025-12-20,arson
21180,2025-12-19,homicide
21181,2025-04-15,embezzlement
21182,2025-05-13,fraud
21183,2025-04-16,money laundering
21184,2025-12-21,terrorism
21185,2025-07-04,cybercrime
21186,2025-04-19,human trafficking
21187,2025-07-19,kidnapping
21188,2025-08-25,cybercrime
21189,2025-03-29,assault
21190,2025-08-18,money laundering
21191,2025-12-20,terrorism
21192,2025-01-20,cybercrime
21193,2025-11-04,homicide
21194,2025-05-27,kidnapping
21195,2025-07-29,arson
21196,2025-05-03,drug possession
21197,2025-11-18,burglary
21198,2025-04-06,robbery
21199,2025-06-25,homicide
21200,2025-08-11,assault
21201,2025-03-24,drug possession
21202,2025-01-31,fraud
21203,2025-06-12,human trafficking
21204,2025-03-31,cybercrime
21205,2025-07-22,arson
21206,2025-02-16,terrorism
21207,2025-04-10,trespassing
21208,2025-02-28,money laundering
21209,2025-01-22,cybercrime
21210,2025-04-07,trespassing
21211,2025-05-16,carjacking
21212,2025-02-24,arson
