nome,numeroSerie
crowbar,2000
screwdriver,2001
screwdriver,2002
crowbar,2003
rope,2004
knife,2005
gun,2006
hammer,2007
gun,2008
hammer,2009
knife,2010
flashlight,2011
phone,2012
hammer,2013
flashlight,2014
screwdriver,2015
rope,2016
knife,2017
phone,2018
knife,2019
flashlight,2020
phone,2021
gun,2022
gun,2023
screwdriver,2024
flashlight,2025
mask,2026
knife,2027
gun,2028
mask,2029
knife,2030
flashlight,2031
mask,2032
mask,2033
knife,2034
knife,2035
hammer,2036
flashlight,2037
phone,2038
mask,2039
hammer,2040
knife,2041
screwdriver,2042
hammer,2043
gun,2044
gun,2045
rope,2046
gun,2047
mask,2048
flashlight,2049
flashlight,2050
flashlight,2051
rope,2052
knife,2053
screwdriver,2054
rope,2055
crowbar,2056
crowbar,2057
knife,2058
mask,2059
rope,2060
crowbar,2061
crowbar,2062
crowbar,2063
crowbar,2064
crowbar,2065
mask,2066
knife,2067
knife,2068
phone,2069
flashlight,2070
knife,2071
flashlight,2072
phone,2073
hammer,2074
knife,2075
mask,2076
mask,2077
knife,2078
mask,2079
screwdriver,2080
gun,2081
phone,2082
rope,2083
rope,2084
gun,2085
screwdriver,2086
hammer,2087
screwdriver,2088
knife,2089
gun,2090
knife,2091
crowbar,2092
rope,2093
knife,2094
rope,2095
hammer,2096
rope,2097
mask,2098
hammer,2099
crowbar,2100
rope,2101
knife,2102
phone,2103
knife,2104
knife,2105
screwdriver,2106
phone,2107
mask,2108
gun,2109
knife,2110
hammer,2111
mask,2112
rope,2113
knife,2114
crowbar,2115
rope,2116
mask,2117
rope,2118
crowbar,2119
hammer,2120
knife,2121
flashlight,2122
mask,2123
crowbar,2124
mask,2125
hammer,2126
knife,2127
knife,2128
gun,2129
crowbar,2130
phone,2131
knife,2132
gun,2133
crowbar,2134
mask,2135
gun,2136
hammer,2137
crowbar,2138
mask,2139
flashlight,2140
knife,2141
hammer,2142
knife,2143
phone,2144
crowbar,2145
phone,2146
gun,2147
knife,2148
rope,2149
screwdriver,2150
rope,2151
knife,2152
flashlight,2153
rope,2154
mask,2155
knife,2156
flashlight,2157
knife,2158
gun,2159
phone,2160
knife,2161
crowbar,2162
hammer,2163
phone,2164
screwdriver,2165
rope,2166
rope,2167
knife,2168
flashlight,2169
mask,2170
mask,2171
phone,2172
crowbar,2173
gun,2174
mask,2175
knife,2176
knife,2177
crowbar,2178
knife,2179
crowbar,2180
knife,2181
phone,2182
hammer,2183
mask,2184
knife,2185
gun,2186
screwdriver,2187
hammer,2188
crowbar,2189
screwdriver,2190
knife,2191
hammer,2192
mask,2193
hammer,2194
flashlight,2195
screwdriver,2196
flashlight,2197
hammer,2198
rope,2199
knife,2200
crowbar,2201
knife,2202
rope,2203
hammer,2204
crowbar,2205
hammer,2206
phone,2207
gun,2208
crowbar,2209
crowbar,2210
rope,2211
gun,2212
phone,2213
gun,2214
knife,2215
knife,2216
hammer,2217
crowbar,2218
knife,2219
knife,2220
knife,2221
screwdriver,2222
rope,2223
screwdriver,2224
knife,2225
knife,2226
phone,2227
flashlight,2228
flashlight,2229
rope,2230
knife,2231
knife,2232
phone,2233
phone,2234
crowbar,2235
gun,2236
gun,2237
mask,2238
knife,2239
phone,2240
flashlight,2241
gun,2242
knife,2243
knife,2244
crowbar,2245
screwdriver,2246
rope,2247
knife,2248
flashlight,2249
mask,2250
hammer,2251
knife,2252
crowbar,2253
screwdriver,2254
rope,2255
knife,2256
knife,2257
hammer,2258
flashlight,2259
knife,2260
flashlight,2261
knife,2262
hammer,2263
rope,2264
rope,2265
mask,2266
phone,2267
screwdriver,2268
knife,2269
gun,2270
crowbar,2271
phone,2272
gun,2273
crowbar,2274
rope,2275
screwdriver,2276
hammer,2277
flashlight,2278
knife,2279
flashlight,2280
crowbar,2281
screwdriver,2282
knife,2283
phone,2284
knife,2285
flashlight,2286
rope,2287
mask,2288
screwdriver,2289
flashlight,2290
hammer,2291
knife,2292
knife,2293
screwdriver,2294
crowbar,2295
mask,2296
knife,2297
knife,2298
crowbar,2299
mask,2300
gun,2301
gun,2302
flashlight,2303
phone,2304
flashlight,2305
knife,2306
phone,2307
phone,2308
rope,2309
knife,2310
hammer,2311
crowbar,2312
hammer,2313
screwdriver,2314
mask,2315
flashlight,2316
crowbar,2317
crowbar,2318
flashlight,2319
hammer,2320
hammer,2321
flashlight,2322
screwdriver,2323
crowbar,2324
flashlight,2325
flashlight,2326
rope,2327
flashlight,2328
gun,2329
flashlight,2330
screwdriver,2331
rope,2332
phone,2333
mask,2334
flashlight,2335
screwdriver,2336
rope,2337
rope,2338
knife,2339
gun,2340
hammer,2341
knife,2342
flashlight,2343
knife,2344
screwdriver,2345
