nome,numeroSerie
knife,12000
crowbar,12001
gun,12002
gun,12003
crowbar,12004
hammer,12005
rope,12006
knife,12007
rope,12008
crowbar,12009
screwdriver,12010
mask,12011
hammer,12012
gun,12013
gun,12014
hammer,12015
phone,12016
flashlight,12017
crowbar,12018
mask,12019
screwdriver,12020
gun,12021
flashlight,12022
mask,12023
mask,12024
screwdriver,12025
knife,12026
knife,12027
crowbar,12028
gun,12029
flashlight,12030
rope,12031
knife,12032
knife,12033
crowbar,12034
rope,12035
knife,12036
gun,12037
phone,12038
rope,12039
mask,12040
screwdriver,12041
mask,12042
rope,12043
crowbar,12044
gun,12045
hammer,12046
mask,12047
mask,12048
knife,12049
rope,12050
mask,12051
knife,12052
mask,12053
crowbar,12054
flashlight,12055
hammer,12056
screwdriver,12057
mask,12058
knife,12059
gun,12060
crowbar,12061
screwdriver,12062
knife,12063
crowbar,12064
rope,12065
phone,12066
screwdriver,12067
crowbar,12068
mask,12069
flashlight,12070
phone,12071
phone,12072
phone,12073
phone,12074
phone,12075
flashlight,12076
mask,12077
gun,12078
knife,12079
screwdriver,12080
hammer,12081
gun,12082
phone,12083
flashlight,12084
hammer,12085
flashlight,12086
screwdriver,12087
screwdriver,12088
gun,12089
gun,12090
hammer,12091
crowbar,12092
flashlight,12093
screwdriver,12094
hammer,12095
crowbar,12096
flashlight,12097
knife,12098
mask,12099
phone,12100
gun,12101
rope,12102
phone,12103
screwdriver,12104
screwdriver,12105
knife,12106
phone,12107
crowbar,12108
flashlight,12109
knife,12110
knife,12111
knife,12112
rope,12113
knife,12114
screwdriver,12115
gun,12116
knife,12117
hammer,12118
crowbar,12119
crowbar,12120
phone,12121
phone,12122
knife,12123
screwdriver,12124
phone,12125
knife,12126
mask,12127
crowbar,12128
knife,12129
knife,12130
mask,12131
knife,12132
gun,12133
rope,12134
hammer,12135
crowbar,12136
hammer,12137
knife,12138
phone,12139
gun,12140
rope,12141
gun,12142
rope,12143
knife,12144
mask,12145
crowbar,12146
screwdriver,12147
hammer,12148
phone,12149
screwdriver,12150
screwdriver,12151
knife,12152
mask,12153
flashlight,12154
knife,12155
hammer,12156
screwdriver,12157
screwdriver,12158
rope,12159
hammer,12160
screwdriver,12161
hammer,12162
hammer,12163
mask,12164
flashlight,12165
rope,12166
crowbar,12167
rope,12168
knife,12169
knife,12170
flashlight,12171
phone,12172
crowbar,12173
flashlight,12174
knife,12175
flashlight,12176
screwdriver,12177
flashlight,12178
mask,12179
hammer,12180
crowbar,12181
knife,12182
mask,12183
phone,12184
crowbar,12185
rope,12186
rope,12187
crowbar,12188
rope,12189
hammer,12190
phone,12191
gun,12192
knife,12193
gun,12194
gun,12195
rope,12196
knife,12197
rope,12198
knife,12199
gun,12200
gun,12201
knife,12202
flashlight,12203
screwdriver,12204
phone,12205
flashlight,12206
hammer,12207
gun,12208
hammer,12209
knife,12210
flashlight,12211
rope,12212
gun,12213
flashlight,12214
hammer,12215
screwdriver,12216
gun,12217
rope,12218
mask,12219
knife,12220
rope,12221
knife,12222
screwdriver,12223
mask,12224
flashlight,12225
phone,12226
flashlight,12227
rope,12228
screwdriver,12229
hammer,12230
knife,12231
mask,12232
screwdriver,12233
gun,12234
knife,12235
mask,12236
knife,12237
knife,12238
mask,12239
screwdriver,12240
screwdriver,12241
screwdriver,12242
crowbar,12243
gun,12244
flashlight,12245
mask,12246
gun,12247
phone,12248
rope,12249
hammer,12250
