id,data,nome
7001,2025-05-16,robbery
7002,2025-10-11,burglary
7003,2025-06-12,embezzlement
7004,2025-10-28,assault
7005,2025-11-06,money laundering
7006,2025-07-22,burglary
7007,2025-01-21,drug possession
7008,2025-06-27,homicide
7009,2025-06-27,carjacking
7010,2025-07-29,fraud
7011,2025-10-13,terrorism
7012,2025-01-30,fraud
7013,2025-08-15,assault
7014,2025-01-22,trespassing
7015,2025-08-24,embezzlement
7016,2025-10-14,money laundering
7017,2025-04-09,human trafficking
7018,2025-02-06,arson
7019,2025-06-20,robbery
7020,2025-02-27,money laundering
7021,2025-12-17,robbery
7022,2025-12-03,assault
7023,2025-11-10,money laundering
7024,2025-11-06,drug possession
7025,2025-07-05,robbery
7026,2025-04-09,drug possession
7027,2025-09-20,money laundering
7028,2025-03-04,money laundering
7029,2025-04-13,cybercrime
7030,2025-04-01,trespassing
7031,2025-08-01,homicide
7032,2025-06-21,embezzlement
7033,2025-04-25,domestic violence
7034,2025-06-10,burglary
7035,2025-07-01,assault
7036,2025-05-21,embezzlement
7037,2025-02-11,assault
7038,2025-07-10,assault
7039,2025-05-27,embezzlement
7040,2025-11-23,carjacking
7041,2025-01-11,fraud
7042,2025-11-06,trespassing
7043,2025-02-01,cybercrime
7044,2025-04-28,burglary
7045,2025-10-09,human trafficking
7046,2025-06-17,stalking
7047,2025-06-01,assault
7048,2025-02-26,burglary
7049,2025-05-07,terrorism
7050,2025-09-10,trespassing
7051,2025-12-10,robbery
7052,2025-02-23,money laundering
7053,2025-05-27,embezzlement
7054,2025-09-22,fraud
7055,2025-12-04,money laundering
7056,2025-05-27,kidnapping
7057,2025-04-04,assault
7058,2025-04-09,trespassing
7059,2025-05-05,human trafficking
7060,2025-09-16,robbery
7061,2025-01-21,drug possession
7062,2025-02-08,stalking
7063,2025-09-05,burglary
7064,2025-02-08,embezzlement
7065,2025-10-26,burglary
7066,2025-12-10,burglary
7067,2025-09-20,carjacking
7068,2025-08-15,arson
7069,2025-07-18,human trafficking
7070,2025-06-01,kidnapping
7071,2025-03-31,cybercrime
7072,2025-02-26,human trafficking
7073,2025-06-12,money laundering
7074,2025-06-05,carjacking
7075,2025-09-08,assault
7076,2025-02-08,human trafficking
7077,2025-03-09,drug possession
7078,2025-01-14,stalking
7079,2025-07-06,fraud
7080,2025-10-25,cybercrime
7081,2025-04-28,human trafficking
7082,2025-05-28,drug possession
7083,2025-09-26,homicide
7084,2025-07-17,human trafficking
7085,2025-03-14,money laundering
7086,2025-08-18,arson
7087,2025-08-06,homicide
7088,2025-03-21,assault
7089,2025-01-06,cybercrime
7090,2025-07-06,trespassing
7091,2025-08-04,robbery
7092,2025-05-04,drug possession
7093,2025-08-02,drug possession
7094,2025-05-25,arson
7095,2025-12-10,terrorism
7096,2025-03-04,assault
7097,2025-12-20,assault
7098,2025-12-24,robbery
7099,2025-04-12,stalking
7100,2025-06-06,drug possession
7101,2025-02-18,homicide
7102,2025-11-18,kidnapping
7103,2025-08-22,fraud
7104,2025-03-01,human trafficking
7105,2025-07-28,money laundering
7106,2025-08-11,stalking
7107,2025-08-01,trespassing
7108,2025-05-05,carjacking
7109,2025-12-18,stalking
7110,2025-03-10,kidnapping
7111,2025-04-14,kidnapping
7112,2025-12-06,human trafficking
7113,2025-05-29,human trafficking
7114,2025-11-14,fraud
7115,2025-04-22,carjacking
7116,2025-10-27,kidnapping
7117,2025-06-28,money laundering
7118,2025-01-26,drug possession
7119,2025-05-28,cybercrime
7120,2025-07-27,homicide
7121,2025-04-05,money laundering
7122,2025-02-25,homicide
7123,2025-10-27,fraud
7124,2025-03-11,kidnapping
7125,2025-07-30,fraud
7126,2025-06-05,fraud
7127,2025-10-31,embezzlement
7128,2025-05-02,trespassing
7129,2025-12-15,stalking
7130,2025-06-13,embezzlement
7131,2025-12-03,terrorism
7132,2025-10-20,domestic violence
