cap,citta,nome,paese
24000,Turin,Salumeria,Italia
24001,Venezia,Trattoria,Italia
24002,Rome,Ristorante,Italia
24003,Messina,Trattoria,Italia
24004,Florence,Trattoria,Italia
24005,Venice,Banca,Italia
24006,Verona,Panetteria,Italia
24007,Venezia,Panetteria,Italia
24008,Turin,Banca,Italia
24009,Messina,Enoteca,Italia
24010,Messina,Panetteria,Italia
24011,Turin,Salumeria,Italia
24012,Palermo,Ristorante,Italia
24013,Rome,Enoteca,Italia
24014,Venezia,Panetteria,Italia
24015,Naples,Enoteca,Italia
24016,Venezia,Panetteria,Italia
24017,Messina,Trattoria,Italia
24018,Milan,Pizzeria,Italia
24019,Florence,Trattoria,Italia
24020,Milan,Salumeria,Italia
24021,Messina,Salumeria,Italia
24022,Bologna,Enoteca,Italia
24023,Palermo,Banca,Italia
24024,Florence,Banca,Italia
24025,Bologna,Banca,Italia
24026,Milan,Banca,Italia
24027,Florence,Panetteria,Italia
24028,Milan,Banca,Italia
24029,Venezia,Banca,Italia
24030,Turin,Pizzeria,Italia
24031,Rome,Panetteria,Italia
24032,Venice,Banca,Italia
24033,Milan,Ristorante,Italia
24034,Milan,Ristorante,Italia
24035,Palermo,Panetteria,Italia
24036,Turin,Salumeria,Italia
24037,Rome,Banca,Italia
24038,Milan,Banca,Italia
24039,Bologna,Pizzeria,Italia
24040,Genoa,Pizzeria,Italia
24041,Bologna,Enoteca,Italia
24042,Milan,Ristorante,Italia
24043,Venezia,Enoteca,Italia
24044,Milan,Ristorante,Italia
24045,Palermo,Salumeria,Italia
24046,Florence,Pizzeria,Italia
24047,Verona,Banca,Italia
24048,Turin,Ristorante,Italia
24049,Florence,Ristorante,Italia
24050,Florence,Panetteria,Italia
24051,Rome,Enoteca,Italia
24052,Verona,Trattoria,Italia
24053,Palermo,Banca,Italia
24054,Venezia,Ristorante,Italia
24055,Turin,Banca,Italia
24056,Venezia,Salumeria,Italia
24057,Florence,Ristorante,Italia
24058,Bologna,Pizzeria,Italia
24059,Bologna,Trattoria,Italia
24060,Florence,Ristorante,Italia
24061,Verona,Ristorante,Italia
24062,Bologna,Enoteca,Italia
24063,Palermo,Pizzeria,Italia
24064,Venezia,Banca,Italia
24065,Venezia,Pizzeria,Italia
24066,Naples,Enoteca,Italia
24067,Venezia,Enoteca,Italia
24068,Florence,Panetteria,Italia
24069,Palermo,Ristorante,Italia
24070,Rome,Ristorante,Italia
24071,Naples,Banca,Italia
24072,Messina,Ristorante,Italia
24073,Venice,Ristorante,Italia
24074,Naples,Enoteca,Italia
24075,Messina,Enoteca,Italia
24076,Palermo,Enoteca,Italia
24077,Genoa,Panetteria,Italia
24078,Turin,Panetteria,Italia
24079,Venezia,Ristorante,Italia
24080,Genoa,Banca,Italia
24081,Rome,Pizzeria,Italia
24082,Bologna,Enoteca,Italia
24083,Genoa,Salumeria,Italia
24084,Genoa,Ristorante,Italia
24085,Messina,Panetteria,Italia
24086,Verona,Panetteria,Italia
24087,Messina,Ristorante,Italia
24088,Messina,Ristorante,Italia
24089,Venice,Ristorante,Italia
24090,Turin,Trattoria,Italia
24091,Genoa,Panetteria,Italia
24092,Venice,Trattoria,Italia
24093,Milan,Pizzeria,Italia
24094,Rome,Banca,Italia
24095,Genoa,Trattoria,Italia
24096,Verona,Pizzeria,Italia
24097,Bologna,Enoteca,Italia
24098,Venice,Banca,Italia
24099,Bologna,Ristorante,Italia
24100,Bologna,Salumeria,Italia
24101,Palermo,Salumeria,Italia
24102,Genoa,Banca,Italia
24103,Florence,Enoteca,Italia
24104,Genoa,Enoteca,Italia
24105,Venezia,Enoteca,Italia
24106,Verona,Salumeria,Italia
24107,Florence,Trattoria,Italia
24108,Turin,Panetteria,Italia
24109,Venice,Pizzeria,Italia
24110,Turin,Panetteria,Italia
24111,Venice,Ristorante,Italia
24112,Venice,Banca,Italia
24113,Palermo,Salumeria,Italia
24114,Genoa,Ristorante,Italia
24115,Genoa,Salumeria,Italia
24116,Bologna,Panetteria,Italia
24117,Bologna,Enoteca,Italia
24118,Florence,Pizzeria,Italia
24119,Venice,Salumeria,Italia
24120,Naples,Salumeria,Italia
24121,Naples,Banca,Italia
24122,Venice,Enoteca,Italia
24123,Turin,Pizzeria,Italia
24124,Messina,Enoteca,Italia
24125,Florence,Banca,Italia
24126,Venezia,Trattoria,Italia
24127,Rome,Salumeria,Italia
24128,Venice,Panetteria,Italia
24129,Florence,Trattoria,Italia
24130,Venezia,Ristorante,Italia
24131,Bologna,Panetteria,Italia
24132,Palermo,Pizzeria,Italia
24133,Venezia,Banca,Italia
24134,Turin,Banca,Italia
24135,Venezia,Panetteria,Italia
24136,Venezia,Banca,Italia
24137,Genoa,Panetteria,Italia
24138,Bologna,Ristorante,Italia
24139,Milan,Trattoria,Italia
24140,Turin,Salumeria,Italia
24141,Naples,Panetteria,Italia
24142,Messina,Enoteca,Italia
24143,Genoa,Banca,Italia
24144,Milan,Salumeria,Italia
24145,Florence,Pizzeria,Italia
24146,Verona,Pizzeria,Italia
24147,Genoa,Trattoria,Italia
24148,Venice,Enoteca,Italia
24149,Rome,Panetteria,Italia
24150,Verona,Ristorante,Italia
24151,Naples,Pizzeria,Italia
24152,Bologna,Trattoria,Italia
24153,Palermo,Pizzeria,Italia
24154,Naples,Enoteca,Italia
24155,Bologna,Pizzeria,Italia
24156,Milan,Salumeria,Italia
24157,Turin,Trattoria,Italia
24158,Messina,Enoteca,Italia
24159,Genoa,Banca,Italia
24160,Genoa,Trattoria,Italia
24161,Bologna,Banca,Italia
24162,Naples,Salumeria,Italia
24163,Venice,Pizzeria,Italia
24164,Florence,Trattoria,Italia
24165,Milan,Banca,Italia
24166,Venice,Salumeria,Italia
24167,Florence,Trattoria,Italia
24168,Verona,Ristorante,Italia
24169,Bologna,Banca,Italia
24170,Verona,Enoteca,Italia
24171,Venice,Panetteria,Italia
24172,Milan,Pizzeria,Italia
24173,Verona,Banca,Italia
24174,Turin,Pizzeria,Italia
24175,Rome,Pizzeria,Italia
24176,Bologna,Panetteria,Italia
24177,Bologna,Banca,Italia
24178,Genoa,Pizzeria,Italia
24179,Palermo,Panetteria,Italia
24180,Venezia,Panetteria,Italia
24181,Venezia,Ristorante,Italia
24182,Palermo,Trattoria,Italia
24183,Turin,Ristorante,Italia
24184,Venice,Salumeria,Italia
24185,Milan,Banca,Italia
24186,Verona,Trattoria,Italia
24187,Palermo,Pizzeria,Italia
24188,Rome,Panetteria,Italia
24189,Palermo,Banca,Italia
24190,Florence,Pizzeria,Italia
24191,Palermo,Panetteria,Italia
24192,Venezia,Salumeria,Italia
24193,Messina,Banca,Italia
24194,Palermo,Panetteria,Italia
24195,Genoa,Panetteria,Italia
24196,Genoa,Panetteria,Italia
24197,Bologna,Pizzeria,Italia
24198,Milan,Banca,Italia
24199,Palermo,Trattoria,Italia
24200,Milan,Trattoria,Italia
24201,Turin,Panetteria,Italia
24202,Rome,Enoteca,Italia
24203,Verona,Enoteca,Italia
24204,Rome,Banca,Italia
24205,Rome,Banca,Italia
24206,Palermo,Panetteria,Italia
24207,Verona,Banca,Italia
24208,Rome,Pizzeria,Italia
24209,Bologna,Banca,Italia
24210,Naples,Pizzeria,Italia
24211,Venice,Salumeria,Italia
24212,Venice,Ristorante,Italia
24213,Verona,Panetteria,Italia
24214,Rome,Pizzeria,Italia
24215,Naples,Salumeria,Italia
24216,Milan,Panetteria,Italia
24217,Palermo,Banca,Italia
24218,Genoa,Ristorante,Italia
24219,Messina,Salumeria,Italia
24220,Venice,Trattoria,Italia
24221,Florence,Trattoria,Italia
24222,Naples,Panetteria,Italia
24223,Turin,Panetteria,Italia
24224,Naples,Enoteca,Italia
24225,Messina,Trattoria,Italia
24226,Genoa,Ristorante,Italia
24227,Venezia,Ristorante,Italia
24228,Venice,Enoteca,Italia
24229,Naples,Trattoria,Italia
24230,Messina,Pizzeria,Italia
24231,Venice,Ristorante,Italia
24232,Rome,Trattoria,Italia
24233,Genoa,Trattoria,Italia
24234,Naples,Panetteria,Italia
24235,Rome,Enoteca,Italia
24236,Messina,Banca,Italia
24237,Rome,Salumeria,Italia
24238,Bologna,Banca,Italia
24239,Venezia,Banca,Italia
24240,Verona,Enoteca,Italia
24241,Naples,Ristorante,Italia
24242,Venice,Panetteria,Italia
24243,Rome,Panetteria,Italia
24244,Turin,Ristorante,Italia
24245,Palermo,Trattoria,Italia
24246,Venice,Trattoria,Italia
24247,Genoa,Enoteca,Italia
24248,Turin,Salumeria,Italia
24249,Bologna,Pizzeria,Italia
24250,Turin,Panetteria,Italia
24251,Milan,Ristorante,Italia
24252,Bologna,Banca,Italia
24253,Venezia,Panetteria,Italia
24254,Venezia,Panetteria,Italia
24255,Palermo,Salumeria,Italia
24256,Palermo,Pizzeria,Italia
24257,Venice,Panetteria,Italia
24258,Florence,Ristorante,Italia
24259,Turin,Banca,Italia
24260,Milan,Trattoria,Italia
24261,Rome,Pizzeria,Italia
24262,Messina,Pizzeria,Italia
24263,Verona,Trattoria,Italia
24264,Naples,Pizzeria,Italia
24265,Rome,Trattoria,Italia
24266,Rome,Enoteca,Italia
24267,Turin,Salumeria,Italia
24268,Rome,Salumeria,Italia
24269,Rome,Salumeria,Italia
24270,Venezia,Pizzeria,Italia
24271,Bologna,Salumeria,Italia
24272,Palermo,Pizzeria,Italia
24273,Venezia,Pizzeria,Italia
24274,Florence,Enoteca,Italia
24275,Messina,Ristorante,Italia
24276,Rome,Salumeria,Italia
24277,Turin,Panetteria,Italia
24278,Palermo,Enoteca,Italia
24279,Naples,Pizzeria,Italia
24280,Naples,Trattoria,Italia
24281,Bologna,Ristorante,Italia
24282,Verona,Banca,Italia
24283,Bologna,Banca,Italia
24284,Naples,Trattoria,Italia
24285,Genoa,Ristorante,Italia
24286,Genoa,Banca,Italia
24287,Venezia,Ristorante,Italia
24288,Venice,Trattoria,Italia
24289,Rome,Pizzeria,Italia
24290,Venice,Enoteca,Italia
24291,Rome,Banca,Italia
24292,Bologna,Enoteca,Italia
24293,Venice,Ristorante,Italia
24294,Milan,Salumeria,Italia
24295,Milan,Pizzeria,Italia
24296,Naples,Pizzeria,Italia
24297,Messina,Trattoria,Italia
24298,Florence,Enoteca,Italia
24299,Genoa,Trattoria,Italia
24300,Bologna,Ristorante,Italia
24301,Venezia,Pizzeria,Italia
24302,Verona,Banca,Italia
24303,Messina,Enoteca,Italia
24304,Naples,Enoteca,Italia
24305,Bologna,Banca,Italia
24306,Messina,Pizzeria,Italia
24307,Palermo,Trattoria,Italia
24308,Venezia,Trattoria,Italia
24309,Rome,Ristorante,Italia
24310,Venezia,Salumeria,Italia
24311,Messina,Ristorante,Italia
24312,Venezia,Trattoria,Italia
24313,Verona,Salumeria,Italia
24314,Milan,Pizzeria,Italia
24315,Florence,Panetteria,Italia
24316,Venice,Panetteria,Italia
24317,Verona,Enoteca,Italia
24318,Verona,Salumeria,Italia
24319,Verona,Pizzeria,Italia
24320,Rome,Trattoria,Italia
24321,Milan,Banca,Italia
24322,Turin,Salumeria,Italia
24323,Palermo,Pizzeria,Italia
24324,Turin,Enoteca,Italia
24325,Venice,Banca,Italia
24326,Messina,Banca,Italia
24327,Rome,Ristorante,Italia
24328,Turin,Ristorante,Italia
24329,Verona,Trattoria,Italia
24330,Turin,Banca,Italia
24331,Verona,Trattoria,Italia
24332,Florence,Salumeria,Italia
24333,Genoa,Ristorante,Italia
24334,Naples,Salumeria,Italia
24335,Turin,Enoteca,Italia
24336,Rome,Salumeria,Italia
24337,Bologna,Pizzeria,Italia
24338,Venezia,Enoteca,Italia
24339,Bologna,Trattoria,Italia
24340,Genoa,Salumeria,Italia
24341,Bologna,Pizzeria,Italia
24342,Rome,Pizzeria,Italia
24343,Rome,Ristorante,Italia
24344,Venezia,Salumeria,Italia
24345,Palermo,Salumeria,Italia
24346,Venice,Enoteca,Italia
24347,Turin,Pizzeria,Italia
24348,Palermo,Pizzeria,Italia
24349,Rome,Salumeria,Italia
24350,Palermo,Ristorante,Italia
24351,Venezia,Salumeria,Italia
24352,Bologna,Banca,Italia
24353,Messina,Enoteca,Italia
24354,Rome,Trattoria,Italia
24355,Turin,Panetteria,Italia
24356,Genoa,Panetteria,Italia
24357,Venezia,Enoteca,Italia
24358,Rome,Enoteca,Italia
24359,Naples,Panetteria,Italia
24360,Venezia,Salumeria,Italia
24361,Milan,Enoteca,Italia
24362,Venice,Trattoria,Italia
24363,Genoa,Ristorante,Italia
24364,Venice,Salumeria,Italia
24365,Genoa,Ristorante,Italia
24366,Messina,Enoteca,Italia
24367,Rome,Panetteria,Italia
24368,Genoa,Ristorante,Italia
24369,Florence,Trattoria,Italia
24370,Venezia,Banca,Italia
24371,Rome,Salumeria,Italia
24372,Turin,Pizzeria,Italia
24373,Venice,Pizzeria,Italia
24374,Palermo,Salumeria,Italia
24375,Palermo,Ristorante,Italia
24376,Venezia,Panetteria,Italia
24377,Milan,Banca,Italia
24378,Palermo,Trattoria,Italia
24379,Venice,Enoteca,Italia
24380,Venezia,Enoteca,Italia
24381,Venice,Ristorante,Italia
24382,Verona,Trattoria,Italia
24383,Verona,Banca,Italia
24384,Bologna,Salumeria,Italia
24385,Naples,Ristorante,Italia
24386,Florence,Trattoria,Italia
24387,Messina,Salumeria,Italia
24388,Naples,Ristorante,Italia
24389,Turin,Salumeria,Italia
24390,Venice,Panetteria,Italia
24391,Venezia,Salumeria,Italia
24392,Florence,Pizzeria,Italia
24393,Rome,Panetteria,Italia
24394,Venice,Salumeria,Italia
24395,Turin,Enoteca,Italia
24396,Naples,Pizzeria,Italia
24397,Rome,Ristorante,Italia
24398,Milan,Pizzeria,Italia
24399,Verona,Enoteca,Italia
24400,Turin,Salumeria,Italia
24401,Florence,Salumeria,Italia
24402,Bologna,Ristorante,Italia
24403,Naples,Banca,Italia
24404,Florence,Trattoria,Italia
24405,Naples,Ristorante,Italia
24406,Messina,Panetteria,Italia
24407,Verona,Ristorante,Italia
24408,Genoa,Pizzeria,Italia
24409,Venezia,Salumeria,Italia
24410,Naples,Enoteca,Italia
24411,Verona,Pizzeria,Italia
24412,Messina,Salumeria,Italia
24413,Florence,Pizzeria,Italia
24414,Turin,Enoteca,Italia
24415,Rome,Banca,Italia
24416,Verona,Salumeria,Italia
24417,Turin,Banca,Italia
24418,Venezia,Pizzeria,Italia
24419,Milan,Banca,Italia
24420,Genoa,Enoteca,Italia
24421,Bologna,Enoteca,Italia
24422,Venice,Panetteria,Italia
24423,Venice,Trattoria,Italia
24424,Palermo,Pizzeria,Italia
24425,Turin,Banca,Italia
24426,Verona,Pizzeria,Italia
24427,Venice,Banca,Italia
24428,Rome,Pizzeria,Italia
24429,Naples,Enoteca,Italia
24430,Messina,Ristorante,Italia
24431,Florence,Salumeria,Italia
24432,Venezia,Ristorante,Italia
24433,Naples,Salumeria,Italia
24434,Venezia,Ristorante,Italia
24435,Florence,Ristorante,Italia
24436,Palermo,Enoteca,Italia
24437,Florence,Panetteria,Italia
24438,Naples,Ristorante,Italia
24439,Venice,Enoteca,Italia
24440,Messina,Salumeria,Italia
24441,Verona,Panetteria,Italia
24442,Milan,Enoteca,Italia
24443,Genoa,Panetteria,Italia
24444,Bologna,Trattoria,Italia
24445,Venice,Banca,Italia
24446,Verona,Enoteca,Italia
24447,Venezia,Banca,Italia
24448,Florence,Banca,Italia
24449,Bologna,Banca,Italia
24450,Bologna,Trattoria,Italia
24451,Rome,Pizzeria,Italia
24452,Verona,Panetteria,Italia
24453,Venezia,Pizzeria,Italia
24454,Florence,Panetteria,Italia
24455,Milan,Salumeria,Italia
24456,Palermo,Pizzeria,Italia
24457,Naples,Panetteria,Italia
24458,Naples,Pizzeria,Italia
24459,Milan,Trattoria,Italia
24460,Naples,Panetteria,Italia
24461,Turin,Panetteria,Italia
24462,Genoa,Trattoria,Italia
24463,Venezia,Pizzeria,Italia
24464,Venezia,Pizzeria,Italia
24465,Messina,Banca,Italia
24466,Turin,Enoteca,Italia
24467,Venice,Trattoria,Italia
24468,Milan,Trattoria,Italia
24469,Palermo,Salumeria,Italia
24470,Verona,Panetteria,Italia
24471,Bologna,Banca,Italia
24472,Turin,Trattoria,Italia
24473,Palermo,Trattoria,Italia
24474,Messina,Banca,Italia
24475,Venezia,Pizzeria,Italia
24476,Verona,Enoteca,Italia
24477,Genoa,Pizzeria,Italia
24478,Messina,Salumeria,Italia
24479,Turin,Enoteca,Italia
24480,Palermo,Panetteria,Italia
24481,Venice,Panetteria,Italia
24482,Venice,Panetteria,Italia
24483,Milan,Banca,Italia
24484,Venezia,Ristorante,Italia
24485,Venezia,Trattoria,Italia
24486,Milan,Panetteria,Italia
24487,Turin,Banca,Italia
24488,Venice,Pizzeria,Italia
24489,Naples,Pizzeria,Italia
24490,Venezia,Trattoria,Italia
24491,Venezia,Panetteria,Italia
24492,Venice,Salumeria,Italia
24493,Florence,Salumeria,Italia
24494,Venezia,Enoteca,Italia
24495,Venezia,Ristorante,Italia
24496,Bologna,Enoteca,Italia
24497,Naples,Enoteca,Italia
24498,Palermo,Salumeria,Italia
24499,Turin,Enoteca,Italia
24500,Venezia,Ristorante,Italia
24501,Florence,Pizzeria,Italia
24502,Milan,Enoteca,Italia
24503,Turin,Salumeria,Italia
24504,Milan,Banca,Italia
24505,Verona,Salumeria,Italia
24506,Florence,Panetteria,Italia
24507,Turin,Enoteca,Italia
24508,Milan,Trattoria,Italia
24509,Florence,Salumeria,Italia
24510,Florence,Salumeria,Italia
24511,Rome,Enoteca,Italia
24512,Bologna,Banca,Italia
24513,Genoa,Trattoria,Italia
24514,Florence,Banca,Italia
24515,Florence,Panetteria,Italia
24516,Bologna,Banca,Italia
24517,Genoa,Ristorante,Italia
24518,Milan,Banca,Italia
24519,Bologna,Pizzeria,Italia
24520,Naples,Panetteria,Italia
24521,Florence,Ristorante,Italia
24522,Milan,Enoteca,Italia
24523,Venezia,Ristorante,Italia
24524,Milan,Salumeria,Italia
24525,Genoa,Panetteria,Italia
24526,Rome,Enoteca,Italia
