cap,citta,nome,paese
20000,Genoa,Salumeria,Italia
20001,Rome,Ristorante,Italia
20002,Messina,Panetteria,Italia
20003,Naples,Banca,Italia
20004,Messina,Pizzeria,Italia
20005,Bologna,Panetteria,Italia
20006,Naples,Salumeria,Italia
20007,Rome,Banca,Italia
20008,Venice,Ristorante,Italia
20009,Florence,Pizzeria,Italia
20010,Venice,Banca,Italia
20011,Milan,Ristorante,Italia
20012,Bologna,Ristorante,Italia
20013,Milan,Ristorante,Italia
20014,Genoa,Salumeria,Italia
20015,Verona,Ristorante,Italia
20016,Venezia,Pizzeria,Italia
20017,Verona,Enoteca,Italia
20018,Venice,Ristorante,Italia
20019,Palermo,Enoteca,Italia
20020,Venice,Enoteca,Italia
20021,Naples,Salumeria,Italia
20022,Naples,Pizzeria,Italia
20023,Venice,Ristorante,Italia
20024,Turin,Banca,Italia
20025,Messina,Banca,Italia
20026,Rome,Enoteca,Italia
20027,Messina,Banca,Italia
20028,Milan,Banca,Italia
20029,Verona,Banca,Italia
20030,Naples,Trattoria,Italia
20031,Rome,Banca,Italia
20032,Palermo,Salumeria,Italia
20033,Palermo,Trattoria,Italia
20034,Naples,Banca,Italia
20035,Messina,Salumeria,Italia
20036,Venezia,Ristorante,Italia
20037,Bologna,Salumeria,Italia
20038,Palermo,Banca,Italia
20039,Genoa,Banca,Italia
20040,Genoa,Salumeria,Italia
20041,Milan,Enoteca,Italia
20042,Bologna,Banca,Italia
20043,Messina,Enoteca,Italia
20044,Milan,Trattoria,Italia
20045,Florence,Salumeria,Italia
20046,Bologna,Pizzeria,Italia
20047,Bologna,Trattoria,Italia
20048,Messina,Pizzeria,Italia
20049,Turin,Pizzeria,Italia
20050,Naples,Banca,Italia
20051,Naples,Trattoria,Italia
20052,Bologna,Salumeria,Italia
20053,Venezia,Panetteria,Italia
20054,Messina,Ristorante,Italia
20055,Genoa,Salumeria,Italia
20056,Messina,Enoteca,Italia
20057,Verona,Trattoria,Italia
20058,Venezia,Enoteca,Italia
20059,Venezia,Enoteca,Italia
20060,Verona,Enoteca,Italia
20061,Verona,Banca,Italia
20062,Verona,Enoteca,Italia
20063,Genoa,Panetteria,Italia
20064,Messina,Ristorante,Italia
20065,Genoa,Salumeria,Italia
20066,Venezia,Ristorante,Italia
20067,Turin,Enoteca,Italia
